sentiment,total_pnl,avg_pnl,median_pnl,trade_count,avg_trade_size_usd,pnl_std,sharpe_approx
Fear,4096265.690132,49.212077443108235,0.0,83237,7182.011019498541,990.8753975658888,0.04966525313273393
Greed,4865300.583624,53.88228122956974,0.0,90295,4574.424489617366,976.9642814803933,0.05515276479496462
